ticket_number,employee_id,termination_date,asset_tag,serial_number,return_required,return_due_date,ticket_status,technician_comment
OFF-00058,E0071,2026-05-24,MD-00058,MD-MO-050058,Yes,2026-07-15,Closed,"Opened return kit after HR closeout. Label printed, waiting on the person. Ref MD-00058."
OFF-00059,E0072,2026-06-01,MD-00059,MD-MO-050059,Yes,2026-07-15,Closed,Mailed prepaid pouch 6/25. No SCAN-86 yet. Ref MD-00059.
OFF-00060,E0073,2026-05-02,MD-00060,MD-NE-050060,Yes,2026-07-15,Closed,User said they'd drop at UPS on the way out. Ticket remains open until dock confirms. Ref MD-00060.
OFF-00061,E0074,2026-06-03,MD-00061,MD-LA-050061,Yes,2026-07-15,Closed,Looping with site ops — laptop still showing assigned post-term. Ref MD-00061.
OFF-00062,E0075,2026-05-04,MD-00062,MD-MO-050062,Yes,2026-07-15,Closed,Return SLA missed; reminder sent to personal email on file. Ref MD-00062.
OFF-00063,E0076,2026-06-05,MD-00063,MD-MO-050063,Yes,2026-07-15,Closed,Created 1Z label. Box not in Atlanta inbound as of last check. Ref MD-00063.
OFF-00064,E0077,2026-05-06,MD-00064,MD-NE-050064,Yes,2026-07-15,Closed,Desk copy of the offboarding packet marked 'ship later.' Ref MD-00064.
OFF-00065,E0078,2026-06-07,MD-00065,MD-LA-050065,Yes,2026-07-15,Closed,Manager thought IT already had it. We don't. Ref MD-00065.
OFF-00066,E0079,2026-05-08,MD-00066,MD-MO-050066,Yes,2026-07-15,Closed,Pushed a second reminder. Carrier still has no acceptance. Ref MD-00066.
OFF-00067,E0080,2026-06-09,MD-00067,MD-MO-050067,Yes,2026-07-15,Closed,WFH return; waiting on tracking to leave 'label created.' Ref MD-00067.
OFF-00068,E0081,2026-05-10,MD-00068,MD-NE-050068,Yes,2026-07-15,Past Due,Coordinator asked if we can close on the label. No. Ref MD-00068.
OFF-00069,E0082,2026-06-11,MD-00069,MD-LA-050069,Yes,2026-07-15,Past Due,Requested photo of packed carton. Nothing came back. Ref MD-00069.
OFF-00070,E0083,2026-05-12,MD-00070,MD-MO-050070,Yes,2026-07-15,Past Due,Past window. Escalated to the PM for that org. Ref MD-00070.
OFF-00071,E0084,2026-06-13,MD-00071,MD-MO-050071,Yes,2026-07-15,Past Due,Monitor return — bulky; user delayed pickup. Ref MD-00071.
OFF-00072,E0085,2026-05-14,MD-00072,MD-NE-050072,Yes,2026-07-15,Past Due,Switching to a recovery case if we don't see a pickup this week. Ref MD-00072.
OFF-00073,E0086,2026-06-15,MD-00073,MD-LA-050073,Yes,2026-07-15,Past Due,Ticket auto-moved to Past Due when due date hit. Ref MD-00073.
OFF-00074,E0087,2026-05-16,MD-00074,MD-MO-050074,Yes,2026-07-15,Past Due,Left voicemail. Still Label Created in the ship file. Ref MD-00074.
OFF-00075,E0088,2026-06-17,MD-00075,MD-MO-050075,Yes,2026-07-15,Past Due,They asked for an extra week. Policy doesn't treat that as received. Ref MD-00075.
OFF-00076,E0089,2026-05-18,MD-00076,MD-NE-050076,Yes,2026-07-15,Past Due,Serial on the label matches register; no dock scan though. Ref MD-00076.
OFF-00077,E0090,2026-06-19,MD-00077,MD-LA-050077,Yes,2026-07-15,Past Due,Helpdesk queued this with the June RIF batch. Ref MD-00077.
OFF-00078,E0091,2026-05-20,MD-00078,MD-MO-050078,Yes,2026-07-15,Past Due,Can't close — no delivery event in the carrier file. Ref MD-00078.
OFF-00079,E0092,2026-06-21,MD-00079,MD-MO-050079,Yes,2026-07-15,Past Due,User claimed inbox full so they missed the ship email. Ref MD-00079.
OFF-00080,E0093,2026-05-22,MD-00080,MD-NE-050080,Yes,2026-07-15,Shipment Open,Regional stock said they never saw it. Ref MD-00080.
OFF-00081,E0094,2026-06-23,MD-00081,MD-LA-050081,Yes,2026-07-15,Shipment Open,On hold for HR to confirm last day vs due date. Ref MD-00081.
